ID,English,Korean
int,string,string
1,Script_Start,"옛날옛적에 한 용사가 살았습니다.\n용사는 강한 힘을 지녔지만 도박을 하지 않으면 스트레스로 약해지는 병에 걸렸습니다.\n하루하루 던전과 도박으로 무의미하게 살아가던 용사는 어느 날 상점에 지긋지긋한 도박중독을 치료해주는 '도박중독치료제'를 새로 들여왔다는 것을 알게되었습니다.\n그러나 아뿔싸! 가격이 무려 100억 골드나 되는 것이었습니다!\n용사는 도박중독에서 벗어나기 위해 100억 골드를 모으기로 결심합니다.\n그것이 던전으로 정직하게 모으는 것이든, 도박으로 모으는 상관없이 말이죠..."
2,Script_Sick,몸이 으슬으슬하게 아픕니다.\n전투력이 20% 감소합니다.
3,Script_Passion,힘이 넘칩니다!\n전투력이 20% 증가합니다.
4,Script_Inc_Tax,세금이 올랐습니다….\n이번 주 세금이 25% 증가합니다.
5,Script_Closure,던전이 폐쇄되었습니다!\n오늘 던전에 갈 수 없습니다.
6,Script_Luck,왜인지 예감이 좋습니다.\n3일 동안 도박 승리 보상이 10% 증가합니다.
7,Script_Crackdown,경찰이 단속을 나왔습니다….\n오늘 도박장에 갈 수 없습니다.
8,Script_Fine,도박한 것을 걸렸습니다….\n벌금으로 소지 골드 25%를 냅니다.
9,Script_Depression,요즘 조금 우울합니다….\n3일 동안 받는 스트레스가 50% 증가합니다.
10,Script_Enteritis,장염에 걸렸습니다….\n3일 동안 상점에서 음식을 먹을 수 없습니다.
11,Script_Joy,어쩐지 오늘 기분이 좋습니다!\n스트레스가 15 감소합니다.
12,Script_Misfotrune,괜시리 기분이 나쁩니다….\n스트레스가 15 증가합니다.
13,Script_Cure,"지긋지긋한 도박 중독을 치료할 수 있는 도박중독 치료제입니다, 구매에 성공한다면 가문의 영웅이 될 것입니다…."
14,Script_Enhance,무기를 강화합니다.\n전투력이 5000 증가합니다.
15,Script_Figure,도박의 신 헤르메스를 묘사한 피규어 입니다.\n하루 도박장 이용 가능 횟수가 1 증가합니다.
16,Script_Cigarette,"가장 쉽고 빠른 위로입니다.\n전투력이 2500, 스트레스가 10 감소합니다."
17,Script_Pighead,행운을 상징하는 돼지 머리입니다.\n먹은 날 하루동안 도박 승리 보상이 10% 증가합니다.
18,Script_Steak,최고급 소고기 1++ 구이입니다.\n먹은 날 하루동안 전투력이 10% 증가합니다.
19,Script_Beer,승부를 뒤집는 할머니가 주시는 맥주입니다.\n스트레스가 20 감소하고 먹을 시 하루가 종료됩니다.
20,Script_Cake,혈당을 올려주는 달콤한 케이크입니다.\n스트레스가 10 감소합니다.
